community_name,area,unit_price,room,size,subway,bus,kindergarten,primary-school,hospital,supermarket,park
陕建机施集团第一社区,新城区,8943,2室1厅,69.33平米,465米,414米,170米,122米,867米,246米,1685米
西航外招小区北区,未央,8952,2室2厅,71.37平米,905米,887米,531米,756米,628米,971米,454米
大华锦绣,灞桥,8964,3室1厅,99.29平米,711米,535米,329米,316米,288米,793米,368米
暻秀天下,高陵,8966,3室2厅,97.04平米,,309米,922米,960米,517米,486米,
建行家属院,长安,8966,2室1厅,72.5平米,202米,223米,378米,1364米,203米,381米,1292米
天心苑,未央,8967,3室2厅,144.99平米,670米,419米,1056米,1012米,385米,676米,591米
雅逸新城二期,莲湖,8972,1室0厅,31.21平米,726米,364米,78米,226米,1404米,829米,737米
高山流水和城,雁塔,8976,2室1厅,89.13平米,683米,958米,1262米,284米,847米,953米,185米
天沁园,长安,8977,2室1厅,64.61平米,1513米,425米,655米,591米,430米,1793米,
枣园小区,灞桥,8983,2室1厅,62.34平米,1021米,138米,312米,805米,391米,546米,1287米
河滨丽景苑,灞桥,8996,2室2厅,87.49平米,1062米,214米,192米,617米,870米,660米,984米
陕建机第三社区,新城区,9000,2室2厅,83.34平米,694米,644米,116米,354米,762米,461米,1919米
金裕青青家园,灞桥,9004,2室2厅,103.29平米,1013米,293米,516米,320米,661米,278米,974米
水榭花都,高陵,9005,1室1厅,22.21平米,,605米,151米,925米,992米,936米,
燃料公司家属院,莲湖,9010,2室1厅,55.5平米,380米,313米,379米,447米,218米,970米,726米
金裕青青家园,灞桥,9013,2室1厅,79.89平米,1013米,293米,516米,320米,661米,278米,974米
爱尚泾渭,高陵,9019,2室2厅,52.67平米,,186米,132米,948米,1118米,1135米,
青门新区,未央,9022,3室1厅,80.92平米,1335米,561米,752米,937米,955米,895米,662米
教育局材料站家属院,长安,9025,3室2厅,119.67平米,763米,408米,80米,40米,334米,477米,1340米
城东小筑,碑林,9027,2室2厅,98.6平米,722米,624米,136米,320米,318米,530米,537米
颐和盛世,高陵,9028,3室2厅,121.85平米,,1612米,1401米,1717米,1374米,1353米,
凤城四路移动大楼,未央,9029,3室2厅,197.16平米,290米,211米,940米,543米,829米,140米,826米
农机校家属楼,长安,9032,3室1厅,130.65平米,927米,327米,725米,321米,673米,659米,1540米
恒大雅苑,高陵,9036,3室2厅,114平米,1062米,414米,774米,871米,935米,464米,
新华小区（长安）,长安,9040,3室2厅,130.54平米,709米,377米,524米,1047米,393米,177米,452米
凯悦华庭小区,雁塔,9044,1室0厅,21.01平米,1052米,57米,398米,447米,892米,853米,1325米
火炬路社区,新城区,9044,2室1厅,58.05平米,469米,362米,587米,424米,661米,630米,896米
万寿小区,新城区,9053,2室2厅,66.28平米,855米,416米,269米,1289米,485米,503米,762米
水榭花都,高陵,9060,2室1厅,32.01平米,,605米,151米,925米,992米,936米,
华清园,灞桥,9062,2室2厅,86.08平米,1235米,297米,362米,232米,779米,210米,1097米
当代惠尔满堂悦MOMΛ,高陵,9065,3室2厅,129.07平米,1873米,211米,804米,869米,1845米,297米,
中联西北工程设计研究院家属院(莲湖),莲湖,9074,2室1厅,58.41平米,869米,606米,628米,499米,533米,881米,849米
八水洋房,莲湖,9074,3室1厅,106.9平米,772米,330米,255米,369米,1052米,344米,1269米
天正银河湾,高陵,9076,2室1厅,57.3平米,,381米,423米,400米,643米,76米,
华远药材家属院,新城区,9082,2室1厅,60.01平米,1035米,1082米,468米,905米,1027米,1037米,701米
世纪锦绣,莲湖,9087,3室1厅,84.74平米,578米,845米,111米,578米,183米,1209米,416米
山水秦唐,临潼,9097,2室2厅,95.97平米,410米,336米,99米,133米,353米,751米,
7171厂北院住宅小区,长安,9102,3室2厅,107.67平米,608米,204米,697米,770米,102米,1264米,1471米
光明小区(未央),未央,9109,3室2厅,126.26平米,565米,562米,587米,681米,385米,720米,1070米
兴中路散排,莲湖,9118,2室1厅,72.39平米,935米,628米,61米,363米,564米,815米,1177米
六棉前进小区,灞桥,9118,2室2厅,92.13平米,380米,1045米,191米,210米,488米,439米,1385米
青门小区西区,莲湖,9120,2室2厅,58.12平米,1414米,162米,532米,254米,587米,1462米,237米
金裕青青家园,灞桥,9122,2室1厅,80.03平米,1013米,293米,516米,320米,661米,278米,974米
嘉园馨苑,高陵,9130,2室2厅,73.39平米,,244米,541米,234米,487米,204米,
亚冠大厦,未央,9140,1室1厅,61.27平米,1017米,312米,654米,808米,516米,1745米,502米
外贸小区,长安,9148,2室2厅,81.99平米,504米,484米,387米,1162米,614米,265米,1673米
北城新天地,高陵,9151,2室2厅,46.99平米,799米,288米,427米,355米,975米,253米,
陕西省水电物资总公司,新城区,9151,3室1厅,90.92平米,563米,638米,1145米,289米,726米,916米,94米
庆华南区,灞桥,9152,2室2厅,71.03平米,455米,275米,337米,272米,292米,214米,1947米
青门小区西区,莲湖,9153,2室1厅,54.63平米,1414米,162米,532米,254米,587米,1462米,237米
西北电力设计院小区,新城区,9156,2室1厅,64.44平米,620米,580米,356米,399米,640米,616米,1687米
任家庄,莲湖,9157,1室1厅,57.88平米,509米,477米,655米,231米,270米,930米,599米
西北电建四公司,灞桥,9159,3室2厅,93.9平米,608米,607米,607米,641米,435米,571米,295米
明德广厦,雁塔,9163,3室2厅,138.6平米,1028米,738米,940米,149米,517米,181米,469米
铁路信号厂小区,新城区,9167,2室1厅,54平米,448米,368米,601米,286米,1066米,295米,316米
六棉前进小区,灞桥,9168,2室2厅,82.9平米,380米,1045米,191米,210米,488米,439米,1385米
恒大雅苑,高陵,9174,3室2厅,121平米,1062米,414米,774米,871米,935米,464米,
西安水泵总厂新小区,长安,9181,3室2厅,97.92平米,495米,144米,169米,829米,578米,183米,937米
原国税小区,长安,9183,2室1厅,56.63平米,566米,495米,736米,842米,541米,414米,521米
雅逸新城二期,莲湖,9187,1室0厅,37.01平米,726米,364米,78米,226米,1404米,737米,1328米
凯悦华庭小区,雁塔,9199,1室0厅,16.09平米,1052米,57米,398米,447米,892米,552米,1325米
青门新区,未央,9207,2室1厅,58.11平米,1335米,561米,752米,937米,955米,,933米
汇邦上东城,临潼,9209,2室2厅,86.66平米,778米,401米,130米,573米,858米,174米,
吉源花园,长安,9217,3室2厅,112.83平米,375米,351米,181米,1037米,474米,152米,1778米
恒大雅苑,高陵,9221,3室2厅,111.6平米,1062米,414米,774米,871米,935米,464米,
潘家村226号,莲湖,9223,2室2厅,106.26平米,689米,535米,120米,280米,251米,1052米,436米
恒大嘉里公馆,新城区,9234,1室0厅,32.49平米,925米,160米,353米,632米,396米,231米,283米
金裕青青家园,灞桥,9243,2室2厅,88.72平米,1013米,293米,516米,320米,661米,278米,974米
八仙庵煤电家属院,碑林,9245,3室1厅,62.2平米,602米,710米,563米,491米,706米,378米,328米
渭水茗居,高陵,9251,2室1厅,73.29平米,,291米,492米,355米,149米,659米,
龙御花园,莲湖,9253,2室1厅,95.11平米,416米,474米,118米,319米,510米,348米,272米
河滨丽景苑,灞桥,9270,2室2厅,102.48平米,1062米,214米,192米,617米,870米,660米,984米
雅荷智能家园,未央,9270,2室2厅,103.56平米,338米,512米,511米,490米,623米,1168米,624米
伞塔路219号,碑林,9277,3室1厅,70.07平米,870米,531米,289米,415米,276米,826米,408米
民生新邨,新城区,9283,2室1厅,80.8平米,565米,263米,710米,603米,292米,756米,1271米
纺织城商业大厦,灞桥,9284,2室1厅,80.78平米,629米,440米,373米,183米,628米,318米,387米
浐灞新城三期,灞桥,9286,2室1厅,86.16平米,1063米,287米,235米,954米,262米,888米,1660米
丰禾小区,莲湖,9286,2室2厅,71.08平米,763米,173米,44米,626米,786米,580米,1355米
美好名流水晶宫,未央,9288,3室2厅,147.51平米,1100米,98米,877米,624米,712米,707米,1200米
金隆住宅小区,莲湖,9296,2室1厅,73.69平米,305米,487米,586米,544米,437米,400米,677米
长安区青年南街开发住宅一区,长安,9304,2室1厅,68.79平米,544米,339米,589米,187米,297米,355米,969米
景怡鑫苑,新城区,9307,2室2厅,96.71平米,1357米,979米,551米,1276米,263米,1741米,946米
维也纳森林,高陵,9324,2室1厅,41.83平米,369米,497米,706米,439米,1885米,670米,1105米
利君南苑,莲湖,9327,2室1厅,52.54平米,960米,1359米,150米,551米,187米,342米,1051米
恒大雅苑,高陵,9335,3室2厅,121.06平米,1062米,414米,774米,871米,935米,464米,
河滨丽景苑,灞桥,9337,2室2厅,88.36平米,1062米,214米,192米,617米,870米,660米,984米
振兴小区,灞桥,9346,2室1厅,62.06平米,888米,142米,198米,258米,602米,1102米,1086米
市委家属院北区,碑林,9348,2室1厅,58.84平米,636米,711米,372米,334米,347米,530米,523米
天正银河湾,高陵,9370,2室2厅,83.25平米,,381米,423米,400米,643米,76米,
西旅国际,雁塔,9375,1室0厅,31.47平米,592米,1170米,310米,181米,604米,99米,401米
西旅国际,雁塔,9375,1室0厅,39.04平米,592米,1170米,310米,181米,604米,534米,401米
西玛大厦,新城区,9376,2室1厅,99.19平米,384米,411米,892米,627米,1581米,289米,1201米
文景小区西区,未央,9381,1室0厅,21.32平米,406米,480米,80米,500米,1002米,1024米,1979米
民洁小区,雁塔,9386,2室2厅,91.63平米,704米,684米,800米,1356米,716米,382米,
群星莱骊,临潼,9389,4室2厅,125.68平米,261米,443米,123米,1152米,830米,131米,1349米
兰乔圣菲,雁塔,9392,2室1厅,50.58平米,1309米,212米,82米,275米,322米,614米,637米
博尚希望城,临潼,9394,1室0厅,29.49平米,1598米,133米,124米,716米,892米,128米,603米
三幼家属院,长安,9394,3室2厅,138.39平米,727米,385米,109米,81米,341米,453米,1312米
泵阀厂家属院,新城区,9405,2室1厅,57.42平米,482米,530米,462米,205米,579米,600米,750米
公共交通第三公司家属院106街坊,新城区,9406,2室2厅,66.45平米,565米,592米,384米,251米,105米,587米,929米
恒大雅苑,高陵,9422,3室2厅,121平米,1062米,414米,774米,871米,935米,464米,
西旅国际,雁塔,9422,1室0厅,53.07平米,592米,1170米,310米,181米,604米,534米,401米
新西蓝一期,雁塔,9425,1室0厅,47.75平米,213米,830米,122米,769米,1226米,253米,256米
公园国际,莲湖,9426,3室2厅,164.44平米,691米,408米,498米,654米,120米,1368米,508米
八水洋房,莲湖,9431,2室1厅,82.71平米,772米,330米,255米,369米,1052米,867米,1269米
民航社区,莲湖,9434,2室2厅,72.08平米,192米,232米,101米,585米,494米,670米,1297米
世纪广场小区,新城区,9451,2室2厅,104.55平米,268米,524米,900米,679米,559米,927米,1204米
三幼家属院,长安,9455,3室2厅,139.61平米,727米,385米,109米,81米,341米,453米,1312米
小寨西路114号院,雁塔,9464,2室1厅,60.23平米,736米,640米,157米,55米,486米,934米,753米
保吉巷小区,碑林,9465,2室1厅,51.77平米,707米,791米,617米,277米,627米,820米,594米
中山门小区西区,新城区,9468,2室1厅,42.04平米,675米,196米,125米,921米,374米,602米,205米
华宇陶苑居,未央,9477,3室2厅,115.02平米,1120米,546米,811米,832米,664米,253米,1370米
枣园安居小区东区,未央,9481,2室1厅,67.51平米,1176米,854米,594米,611米,720米,486米,548米
龙御花园,莲湖,9482,2室1厅,94.92平米,416米,474米,118米,319米,510米,272米,285米
蔚蓝花城,莲湖,9491,4室2厅,194.94平米,438米,266米,454米,696米,560米,237米,1500米
恒大雅苑,高陵,9491,3室2厅,120.12平米,1062米,414米,774米,871米,935米,464米,
新一代国际公寓,雁塔,9499,1室1厅,53.69平米,199米,475米,371米,548米,574米,1318米,1183米
白庙馨苑小区,碑林,9500,2室2厅,60平米,626米,1066米,419米,551米,1049米,877米,1290米
司法局家属院,长安,9501,3室2厅,112.62平米,776米,613米,731米,374米,360米,143米,844米
八府庄小区,新城区,9507,3室1厅,99.93平米,838米,404米,445米,862米,1104米,1529米,318米
陕西送变电工程公司家属院,碑林,9507,3室1厅,76.26平米,252米,695米,596米,433米,932米,591米,1898米
新街坊人家小区,莲湖,9513,2室1厅,59.92平米,864米,374米,425米,428米,738米,259米,975米
碧水云轩,碑林,9514,2室1厅,97.76平米,177米,272米,457米,746米,1012米,1176米,567米
锦业大厦,雁塔,9520,2室1厅,94.54平米,1787米,813米,443米,404米,300米,939米,1611米
桃苑红杉郡,临潼,9526,2室1厅,87.13平米,698米,71米,396米,222米,631米,830米,
泾渭上城,高陵,9542,2室2厅,37.73平米,1486米,522米,117米,787米,781米,483米,567米
黄河住宅东区,新城区,9543,2室1厅,78.07平米,814米,642米,495米,503米,314米,527米,
莲湖路第1散排,莲湖,9552,2室1厅,65.96平米,465米,284米,539米,973米,1089米,1554米,225米
